Date_Time,NO2(GT)
10/03/2004 18.00.00,166
10/03/2004 19.00.00,1174
10/03/2004 20.00.00,131
10/03/2004 21.00.00,172
10/03/2004 22.00.00,131
10/03/2004 23.00.00,89
11/03/2004 00.00.00,62
11/03/2004 01.00.00,1453
11/03/2004 02.00.00,45
11/03/2004 03.00.00,-200
11/03/2004 04.00.00,1818
11/03/2004 05.00.00,16
11/03/2004 06.00.00,34
11/03/2004 07.00.00,98
11/03/2004 08.00.00,1136
11/03/2004 09.00.00,129
11/03/2004 10.00.00,112
11/03/2004 11.00.00,95
11/03/2004 12.00.00,104
11/03/2004 13.00.00,146
11/03/2004 14.00.00,207
11/03/2004 15.00.00,184
11/03/2004 16.00.00,193
11/03/2004 17.00.00,243
11/03/2004 18.00.00,281
11/03/2004 19.00.00,383
11/03/2004 20.00.00,351
11/03/2004 21.00.00,240
11/03/2004 22.00.00,94
11/03/2004 23.00.00,1565
12/03/2004 00.00.00,122
12/03/2004 01.00.00,133
12/03/2004 02.00.00,82
12/03/2004 03.00.00,-200
12/03/2004 04.00.00,1893
12/03/2004 05.00.00,30
12/03/2004 06.00.00,56
12/03/2004 07.00.00,109
12/03/2004 08.00.00,307
12/03/2004 09.00.00,767
12/03/2004 10.00.00,187
12/03/2004 11.00.00,216
12/03/2004 12.00.00,143
12/03/2004 13.00.00,160
12/03/2004 14.00.00,163
12/03/2004 15.00.00,190
12/03/2004 16.00.00,178
12/03/2004 17.00.00,150
12/03/2004 18.00.00,206
12/03/2004 19.00.00,202
12/03/2004 20.00.00,340
12/03/2004 21.00.00,274
12/03/2004 22.00.00,253
12/03/2004 23.00.00,300
13/03/2004 00.00.00,193
13/03/2004 01.00.00,139
13/03/2004 02.00.00,83
13/03/2004 03.00.00,-200
13/03/2004 04.00.00,1132
13/03/2004 05.00.00,1420
13/03/2004 06.00.00,53
13/03/2004 07.00.00,139
13/03/2004 08.00.00,256
13/03/2004 09.00.00,295
13/03/2004 10.00.00,250
13/03/2004 11.00.00,296
13/03/2004 12.00.00,239
13/03/2004 13.00.00,153
13/03/2004 14.00.00,1088
13/03/2004 15.00.00,1049
13/03/2004 16.00.00,138
13/03/2004 17.00.00,148
13/03/2004 18.00.00,227
13/03/2004 19.00.00,277
13/03/2004 20.00.00,279
13/03/2004 21.00.00,283
13/03/2004 22.00.00,214
13/03/2004 23.00.00,172
14/03/2004 00.00.00,190
14/03/2004 01.00.00,174
14/03/2004 02.00.00,128
14/03/2004 03.00.00,-200
14/03/2004 04.00.00,1130
14/03/2004 05.00.00,53
14/03/2004 06.00.00,1395
14/03/2004 07.00.00,74
14/03/2004 08.00.00,101
14/03/2004 09.00.00,118
14/03/2004 10.00.00,144
14/03/2004 11.00.00,176
14/03/2004 12.00.00,161
14/03/2004 13.00.00,1084
14/03/2004 14.00.00,103
14/03/2004 15.00.00,112
14/03/2004 16.00.00,974
14/03/2004 17.00.00,180
14/03/2004 18.00.00,160
14/03/2004 19.00.00,261
14/03/2004 20.00.00,325
14/03/2004 21.00.00,217
14/03/2004 22.00.00,146
14/03/2004 23.00.00,152
15/03/2004 00.00.00,104
15/03/2004 01.00.00,106
15/03/2004 02.00.00,108
15/03/2004 03.00.00,-200
15/03/2004 04.00.00,1150
15/03/2004 05.00.00,1156
15/03/2004 06.00.00,138
15/03/2004 07.00.00,228
15/03/2004 08.00.00,360
15/03/2004 09.00.00,478
15/03/2004 10.00.00,394
15/03/2004 11.00.00,319
15/03/2004 12.00.00,201
15/03/2004 13.00.00,171
15/03/2004 14.00.00,159
15/03/2004 15.00.00,153
15/03/2004 16.00.00,143
15/03/2004 17.00.00,156
15/03/2004 18.00.00,314
15/03/2004 19.00.00,542
15/03/2004 20.00.00,320
15/03/2004 21.00.00,256
15/03/2004 22.00.00,193
15/03/2004 23.00.00,89
16/03/2004 00.00.00,127
16/03/2004 01.00.00,79
16/03/2004 02.00.00,43
16/03/2004 03.00.00,-200
16/03/2004 04.00.00,1316
16/03/2004 05.00.00,38
16/03/2004 06.00.00,82
16/03/2004 07.00.00,99
16/03/2004 08.00.00,263
16/03/2004 09.00.00,229
16/03/2004 10.00.00,396
16/03/2004 11.00.00,314
16/03/2004 12.00.00,217
16/03/2004 13.00.00,724
16/03/2004 14.00.00,263
16/03/2004 15.00.00,180
16/03/2004 16.00.00,184
16/03/2004 17.00.00,190
16/03/2004 18.00.00,184
16/03/2004 19.00.00,181
16/03/2004 20.00.00,166
16/03/2004 21.00.00,317
16/03/2004 22.00.00,184
16/03/2004 23.00.00,130
17/03/2004 00.00.00,132
17/03/2004 01.00.00,95
17/03/2004 02.00.00,70
17/03/2004 03.00.00,-200
17/03/2004 04.00.00,1396
17/03/2004 05.00.00,28
17/03/2004 06.00.00,46
17/03/2004 07.00.00,160
17/03/2004 08.00.00,320
17/03/2004 09.00.00,377
17/03/2004 10.00.00,280
17/03/2004 11.00.00,221
17/03/2004 12.00.00,210
17/03/2004 13.00.00,204
17/03/2004 14.00.00,161
17/03/2004 15.00.00,1013
17/03/2004 16.00.00,186
17/03/2004 17.00.00,147
17/03/2004 18.00.00,793
17/03/2004 19.00.00,411
17/03/2004 20.00.00,347
17/03/2004 21.00.00,336
17/03/2004 22.00.00,202
17/03/2004 23.00.00,178
18/03/2004 00.00.00,154
18/03/2004 01.00.00,92
18/03/2004 02.00.00,1057
18/03/2004 03.00.00,-200
18/03/2004 04.00.00,1260
18/03/2004 05.00.00,37
18/03/2004 06.00.00,68
18/03/2004 07.00.00,139
18/03/2004 08.00.00,339
18/03/2004 09.00.00,421
18/03/2004 10.00.00,349
18/03/2004 11.00.00,224
18/03/2004 12.00.00,171
18/03/2004 13.00.00,149
18/03/2004 14.00.00,137
18/03/2004 15.00.00,149
18/03/2004 16.00.00,172
18/03/2004 17.00.00,166
18/03/2004 18.00.00,214
18/03/2004 19.00.00,280
18/03/2004 20.00.00,276
18/03/2004 21.00.00,178
18/03/2004 22.00.00,129
18/03/2004 23.00.00,95
19/03/2004 00.00.00,918
19/03/2004 01.00.00,103
19/03/2004 02.00.00,48
19/03/2004 03.00.00,-200
19/03/2004 04.00.00,1440
19/03/2004 05.00.00,18
19/03/2004 06.00.00,56
19/03/2004 07.00.00,115
19/03/2004 08.00.00,320
19/03/2004 09.00.00,357
19/03/2004 10.00.00,701
19/03/2004 11.00.00,218
19/03/2004 12.00.00,192
19/03/2004 13.00.00,793
19/03/2004 14.00.00,198
19/03/2004 15.00.00,212
19/03/2004 16.00.00,708
19/03/2004 17.00.00,270
19/03/2004 18.00.00,231
19/03/2004 19.00.00,251
19/03/2004 20.00.00,210
19/03/2004 21.00.00,748
19/03/2004 22.00.00,143
19/03/2004 23.00.00,127
20/03/2004 00.00.00,104
20/03/2004 01.00.00,86
20/03/2004 02.00.00,74
20/03/2004 03.00.00,-200
20/03/2004 04.00.00,1308
20/03/2004 05.00.00,42
20/03/2004 06.00.00,63
20/03/2004 07.00.00,115
20/03/2004 08.00.00,170
20/03/2004 09.00.00,147
20/03/2004 10.00.00,166
20/03/2004 11.00.00,195
20/03/2004 12.00.00,182
20/03/2004 13.00.00,168
20/03/2004 14.00.00,125
20/03/2004 15.00.00,95
20/03/2004 16.00.00,79
20/03/2004 17.00.00,119
20/03/2004 18.00.00,142
20/03/2004 19.00.00,215
20/03/2004 20.00.00,229
20/03/2004 21.00.00,206
20/03/2004 22.00.00,147
20/03/2004 23.00.00,122
21/03/2004 00.00.00,175
21/03/2004 01.00.00,133
21/03/2004 02.00.00,89
21/03/2004 03.00.00,-200
21/03/2004 04.00.00,1029
21/03/2004 05.00.00,55
21/03/2004 06.00.00,24
21/03/2004 07.00.00,72
21/03/2004 08.00.00,122
21/03/2004 09.00.00,111
21/03/2004 10.00.00,123
21/03/2004 11.00.00,106
21/03/2004 12.00.00,103
21/03/2004 13.00.00,102
21/03/2004 14.00.00,48
21/03/2004 15.00.00,63
21/03/2004 16.00.00,98
21/03/2004 17.00.00,132
21/03/2004 18.00.00,173
21/03/2004 19.00.00,185
21/03/2004 20.00.00,266
21/03/2004 21.00.00,188
21/03/2004 22.00.00,122
21/03/2004 23.00.00,112
22/03/2004 00.00.00,93
22/03/2004 01.00.00,74
22/03/2004 02.00.00,23
22/03/2004 03.00.00,-200
22/03/2004 04.00.00,1756
22/03/2004 05.00.00,15
22/03/2004 06.00.00,41
22/03/2004 07.00.00,86
22/03/2004 08.00.00,226
22/03/2004 09.00.00,214
22/03/2004 10.00.00,115
22/03/2004 11.00.00,124
22/03/2004 12.00.00,122
22/03/2004 13.00.00,955
22/03/2004 14.00.00,133
22/03/2004 15.00.00,130
22/03/2004 16.00.00,150
22/03/2004 17.00.00,138
22/03/2004 18.00.00,213
22/03/2004 19.00.00,232
22/03/2004 20.00.00,238
22/03/2004 21.00.00,180
22/03/2004 22.00.00,920
22/03/2004 23.00.00,65
23/03/2004 00.00.00,53
23/03/2004 01.00.00,47
23/03/2004 02.00.00,51
23/03/2004 03.00.00,-200
23/03/2004 04.00.00,1701
23/03/2004 05.00.00,13
23/03/2004 06.00.00,33
23/03/2004 07.00.00,103
23/03/2004 08.00.00,851
23/03/2004 09.00.00,244
23/03/2004 10.00.00,237
23/03/2004 11.00.00,792
23/03/2004 12.00.00,207
23/03/2004 13.00.00,208
23/03/2004 14.00.00,160
23/03/2004 15.00.00,131
23/03/2004 16.00.00,944
23/03/2004 17.00.00,818
23/03/2004 18.00.00,107
23/03/2004 19.00.00,131
23/03/2004 20.00.00,166
23/03/2004 21.00.00,89
23/03/2004 22.00.00,81
23/03/2004 23.00.00,78
24/03/2004 00.00.00,70
24/03/2004 01.00.00,76
24/03/2004 02.00.00,43
24/03/2004 03.00.00,-200
24/03/2004 04.00.00,1477
24/03/2004 05.00.00,34
24/03/2004 06.00.00,43
24/03/2004 07.00.00,79
24/03/2004 08.00.00,174
24/03/2004 09.00.00,235
24/03/2004 10.00.00,218
24/03/2004 11.00.00,136
24/03/2004 12.00.00,117
24/03/2004 13.00.00,119
24/03/2004 14.00.00,126
24/03/2004 15.00.00,1015
24/03/2004 16.00.00,197
24/03/2004 17.00.00,195
24/03/2004 18.00.00,156
24/03/2004 19.00.00,247
24/03/2004 20.00.00,190
24/03/2004 21.00.00,169
24/03/2004 22.00.00,118
24/03/2004 23.00.00,81
25/03/2004 00.00.00,80
25/03/2004 01.00.00,1400
25/03/2004 02.00.00,38
25/03/2004 03.00.00,-200
25/03/2004 04.00.00,18
25/03/2004 05.00.00,12
25/03/2004 06.00.00,43
25/03/2004 07.00.00,84
25/03/2004 08.00.00,184
25/03/2004 09.00.00,202
25/03/2004 10.00.00,133
25/03/2004 11.00.00,130
25/03/2004 12.00.00,106
25/03/2004 13.00.00,958
25/03/2004 14.00.00,106
25/03/2004 15.00.00,125
25/03/2004 16.00.00,138
25/03/2004 17.00.00,968
25/03/2004 18.00.00,158
25/03/2004 19.00.00,253
25/03/2004 20.00.00,231
25/03/2004 21.00.00,150
25/03/2004 22.00.00,99
25/03/2004 23.00.00,75
26/03/2004 00.00.00,93
26/03/2004 01.00.00,79
26/03/2004 02.00.00,67
26/03/2004 03.00.00,-200
26/03/2004 04.00.00,45
26/03/2004 05.00.00,72
26/03/2004 06.00.00,103
26/03/2004 07.00.00,132
26/03/2004 08.00.00,239
26/03/2004 09.00.00,275
26/03/2004 10.00.00,232
26/03/2004 11.00.00,180
26/03/2004 12.00.00,948
26/03/2004 13.00.00,116
26/03/2004 14.00.00,103
26/03/2004 15.00.00,89
26/03/2004 16.00.00,112
26/03/2004 17.00.00,127
26/03/2004 18.00.00,125
26/03/2004 19.00.00,120
26/03/2004 20.00.00,120
26/03/2004 21.00.00,99
26/03/2004 22.00.00,79
26/03/2004 23.00.00,66
27/03/2004 00.00.00,94
27/03/2004 01.00.00,1290
27/03/2004 02.00.00,75
27/03/2004 03.00.00,-200
27/03/2004 04.00.00,1209
27/03/2004 05.00.00,32
27/03/2004 06.00.00,54
27/03/2004 07.00.00,68
27/03/2004 08.00.00,98
27/03/2004 09.00.00,128
27/03/2004 10.00.00,129
27/03/2004 11.00.00,130
27/03/2004 12.00.00,111
27/03/2004 13.00.00,106
27/03/2004 14.00.00,137
27/03/2004 15.00.00,113
27/03/2004 16.00.00,122
27/03/2004 17.00.00,137
27/03/2004 18.00.00,165
27/03/2004 19.00.00,827
27/03/2004 20.00.00,174
27/03/2004 21.00.00,140
27/03/2004 22.00.00,102
27/03/2004 23.00.00,130
28/03/2004 00.00.00,121
28/03/2004 01.00.00,111
28/03/2004 02.00.00,87
28/03/2004 03.00.00,-200
28/03/2004 04.00.00,77
28/03/2004 05.00.00,39
28/03/2004 06.00.00,77
28/03/2004 07.00.00,91
28/03/2004 08.00.00,105
28/03/2004 09.00.00,133
28/03/2004 10.00.00,128
28/03/2004 11.00.00,126
28/03/2004 12.00.00,92
28/03/2004 13.00.00,66
28/03/2004 14.00.00,1285
28/03/2004 15.00.00,70
